name,organization,country,handle,scholar_url,linkedin_url
Shengjia Zhao,Meta,China,shengjia_zhao,https://scholar.google.com/citations?user=bMoauM4AAAAJ&hl=en,https://www.linkedin.com/in/shengjia-zhao
Mostafa Dehghani,Google Deepmind,Iran,m__dehghani,https://scholar.google.com/citations?user=MiHOX3QAAAAJ&hl=en,https://www.linkedin.com/in/dehghani-mostafa
Nicholas Carlini,Anthropic,USA,yocarlini,https://scholar.google.com/citations?user=q4qDvAoAAAAJ,null
Amanda Askell,Anthropic,UK,AmandaAskell,https://scholar.google.com/citations?user=NYOJzM4AAAAJ&hl=en,https://www.linkedin.com/in/amanda-askell
Prafulla Dhariwal,OpenAI,India,prafdhar,https://scholar.google.com/citations?user=0pOgVVAAAAAJ&hl=en,https://www.linkedin.com/in/prafulladhariwal
Barret Zoph,Thinking Machines,USA,barret_zoph,https://scholar.google.com/citations?user=T-bUKoQAAAAJ&hl=en,https://www.linkedin.com/in/barret-zoph-65990543
Jimmy Ba,xAI,Canada,jimmybajimmyba,https://scholar.google.com/citations?user=ymzxRhAAAAAJ&hl=en,null
Zhihong Shao,DeepSeek,China,zhs05232838,https://scholar.google.com/citations?user=PZy4HEIAAAAJ&hl=zh-CN,https://www.linkedin.com/in/zhihong-shao-18a1981b4
Dan Hendrycks,CAIS,USA,DanHendrycks,https://scholar.google.com/citations?user=czyretsAAAAJ&hl=en,https://www.linkedin.com/in/dan-hendrycks-04062395
robert lasenby,Anthropic,UK,Not Found,null,https://www.linkedin.com/in/robert-lasenby-78aa05257
Timothy P. Lillicrap,Google Deepmind,Canada,countzerozzz,https://scholar.google.com/citations?user=htPVdRMAAAAJ&hl=en,null
Alec Radford,Thinking Machines,USA,AlecRad,https://scholar.google.com/citations?user=dOad5HoAAAAJ&hl=en,Not Found
Alexander Wei,OpenAI,USA,alexwei_,https://scholar.google.com/citations?user=d5wGxRsAAAAJ&hl=en,https://www.linkedin.com/in/ayw31
Deli Chen,DeepSeek,China,victor207755822,https://scholar.google.com/citations?user=8YpGRDcAAAAJ&hl=zh-CN,Not Found
hunter lightman,OpenAI,USA,hunterlightman,https://scholar.google.com/citations?user=trHka_UAAAAJ&hl=en,https://www.linkedin.com/in/hunterlightman
Lilian Weng,Thinking Machines,China,lilianweng,https://scholar.google.com/citations?user=dCa-pW8AAAAJ&hl=en,https://www.linkedin.com/in/lilianweng
Tom Brown,Anthropic,USA,nottombrown,https://scholar.google.com/citations?user=RLvsC94AAAAJ&hl=en,https://www.linkedin.com/in/nottombrown
Nick Ryder,OpenAI,USA,Not Found,https://scholar.google.com/citations?user=rLp0oucAAAAJ&hl=en,https://www.linkedin.com/in/nick-ryder-84774117b
Ilya Sutskever,SSI,Canada,ilyasut,https://scholar.google.com/citations?user=x04W_mMAAAAJ&hl=en,https://www.linkedin.com/in/ilya-sutskever
Mark Chen,OpenAI,USA,markchen90,https://scholar.google.com/citations?user=5fU-QMwAAAAJ&hl=en,https://www.linkedin.com/in/markchen90
Yoshua Bengio,LawZero,Canada,Yoshua_Bengio,https://scholar.google.com/citations?user=kukA0LcAAAAJ&hl=en,https://ca.linkedin.com/in/yoshuabengio
Alexander Kirillov,Thinking Machines,Russia,_alex_kirillov_,https://scholar.google.com/citations?user=bHn29ScAAAAJ&hl=en,https://www.linkedin.com/in/alexander-kirillov-08110749
wenda zhou,OpenAI,France,zhouwenda,https://scholar.google.com/citations?user=CdrwG8AAAAAJ&hl=en,https://www.linkedin.com/in/zhouwenda
Diederik P. Kingma,Anthropic,Netherlands,dpkingma,https://scholar.google.com/citations?user=yyIoQu4AAAAJ&hl=en,https://nl.linkedin.com/in/durk-kingma-58b3564
Dario Amodei,Anthropic,USA,DarioAmodei,https://scholar.google.com/citations?user=6-e-ZBEAAAAJ&hl=en,https://www.linkedin.com/in/dario-amodei-3934934
sebastian borgeaud,Google DeepMind,UK,borgeaud_s,https://scholar.google.com/citations?user=-KzSL30AAAAJ&hl=en,https://uk.linkedin.com/in/sebastian-borgeaud-8648a5aa
Alexander Kolesnikov,OpenAI,Russia,__kolesnikov__,https://scholar.google.com/citations?user=H9I0CVwAAAAJ&hl=en,https://ch.linkedin.com/in/alexaderkolesnikov
Quoc V. Le,Google,Vietnam,quocleix,https://scholar.google.com/citations?user=vfT6-XIAAAAJ&hl=en,https://www.linkedin.com/in/quoc-v-le-319b5a8
Lukasz Kaiser,OpenAI,Poland,lukaszkaiser,https://scholar.google.com/citations?user=JWmiQR0AAAAJ&hl=en,https://www.linkedin.com/in/lukaszkaiser
Jeff Dean,Google Deepmind,USA,JeffDean,https://scholar.google.com/citations?user=NMS69lQAAAAJ&hl=en,https://www.linkedin.com/in/jeff-dean-8b212555
David Silver,Google Deepmind,UK,Not Found,https://scholar.google.com/citations?user=-8DNE4UAAAAJ&hl=en,Not Found
tristan hume,Anthropic,Canada,trishume,https://scholar.google.com/citations?user=w15pa5MAAAAJ&hl=en,Not Found
Chelsea Finn,Physical Intelligence,USA,chelseabfinn,https://scholar.google.com/citations?user=vfPE6hgAAAAJ&hl=en,https://www.linkedin.com/in/cbfinn
Jared Kaplan,Anthropic,USA,JaredKaplan,https://scholar.google.com/citations?user=KNr3vb4AAAAJ&hl=en,https://www.linkedin.com/in/jared-kaplan-645843213
John Schulman,Thinking Machines,USA,johnschulman2,https://scholar.google.com/citations?user=itSa94cAAAAJ&hl=en,null
Chris Olah,Anthropic,USA,ch402,https://scholar.google.com/citations?user=6dskOSUAAAAJ&hl=en,https://www.linkedin.com/in/christopher-olah-b574414a
horace he,Thinking Machines,USA,cHHillee,https://scholar.google.com/citations?user=exzHWOwAAAAJ&hl=en,https://www.linkedin.com/in/horacehe
Noam Brown,OpenAI,USA,polynoamial,https://scholar.google.com/citations?user=RLDbLcUAAAAJ&hl=en,https://www.linkedin.com/in/noam-brown-8b785b62
Pieter Abbeel,University of California,Belgium,pabbeel,https://scholar.google.com/citations?user=C6UDP_UAAAAJ&hl=en,https://www.linkedin.com/in/pieterabbeel
igor babuschkin,xAI,Germany,ibab,https://scholar.google.com/citations?user=_N2COeAAAAAJ&hl=en,https://www.linkedin.com/in/igor-babuschkin-9bb5bab6
Paul Christiano,US AI Safety Institute,USA,paulfchristiano,https://scholar.google.com/citations?user=B7oP0bIAAAAJ&hl=en,https://www.linkedin.com/in/paul-christiano-5089211bb
Andrej Karpathy,Eureka Labs,Slovakia,karpathy,https://scholar.google.com/citations?user=l8WuQJgAAAAJ&hl=en,https://www.linkedin.com/in/andrej-karpathy-9a650716
julian schrittwieser,Anthropic,Austria,Mononofu,https://scholar.google.com/citations?user=AiH3_CkAAAAJ&hl=en,Not Found
jerry tworek,OpenAI,Poland,MillionInt,https://scholar.google.com/citations?user=ZPuESCQAAAAJ&hl=en,https://www.linkedin.com/in/jerry-tworek-b5b9aa56
Noam Shazeer,Google Deepmind,USA,NoamShazeer,https://scholar.google.com/citations?user=wsGvgA8AAAAJ&hl=en,https://www.linkedin.com/in/noam-shazeer-3b27288
